# West midlands
Jill Seymour
James Carver
Bill Etheridge
Phil Henrick
Michael Wrench
Michael Green
Lyndon Jones

# East midlands
Roger Helmer, https://en.wikipedia.org/wiki/Roger_Helmer
Margot Parker
Jonathan Bullock
Nigel Wickens
Barry Mahoney

# Eastern
Patrick O'Flynn
Stuart Agnew, https://en.wikipedia.org/wiki/Stuart_Agnew
Tim Aker
Michael Heaver
Andrew Smith
Mick McGough
Andy Monk

# London
Gerard Batten, https://en.wikipedia.org/wiki/Gerard_Batten
Paul Oakley
Elizabeth Jones
Lawrence Webb
Alastair McFarlane
Andrew McNeilis
Anthony Brown
Peter Whittle

# North-east
Jonathan Arnott, https://en.wikipedia.org/wiki/Jonathan_Arnott
Richard Elvin
John Tennant

# Northern Ireland
Henry Reilly

# North-west
Paul Nuttall, https://en.wikipedia.org/wiki/Paul_Nuttall
Louise Bours
Steven Woolfe
Shneur Odze
Michael McManus
Lee Slaughter
Simon Noble
Peter Harper

# Scotland
David Coburn
Mike Scott-Hayward
Christopher Monckton, https://en.wikipedia.org/wiki/Christopher_Monckton,_3rd_Viscount_Monckton_of_Brenchley
Otto Inglis
Paul Henke
Malcolm Macaskill
Ross Durance
Steven McKeane
Kevin Newton

# South-east
Nigel Farage, https://en.wikipedia.org/wiki/Nigel_Farage
Janice Atkinson
Diane James
Ray Finch
Donna Edmunds
Patricia Culligan
Nigel Jones
Alan Stevens
Simon Strutt
Barry Cooper

# South west
William Dartmouth, https://en.wikipedia.org/wiki/William_Legge,_10th_Earl_of_Dartmouth
Julia Reid
Gawain Towler
Tony McIntyre
Robert Smith
Keith Crawford

# Wales
Nathan Gill
James Cole
Caroline Jones
David Rowlands

# Yorkshire and the Humber
Jane Collins
Amjad Bashir
Mike Hooken
Gary Shores
Jason Smith
Anne Murgatroy
