# Party Region Candidate Twitter
National Liberal Party – True Liberalism, london, Graham Williamson, 
National Liberal Party – True Liberalism, london, Jagdeesh Singh, 
National Liberal Party – True Liberalism, london, Sockalingam Yogalingam, 
National Liberal Party – True Liberalism, london, Doris Jones, 
National Liberal Party – True Liberalism, london, Upkar Rai, 
National Liberal Party – True Liberalism, london, Yussef Anwar, 
National Liberal Party – True Liberalism, london, Araz Yurdseven, 
National Liberal Party – True Liberalism, london, Bernard Dube, 
Alliance Party of Northern Ireland, northern-ireland, Anna Lo, Anna4Europe
Socialist Equality Party (UK), north-west, Chris Marsden, 
Socialist Equality Party (UK), north-west, Julie Hyland, 
Socialist Equality Party (UK), north-west, Robert Skelton, 
Socialist Equality Party (UK), north-west, Lucy Warren, 
Socialist Equality Party (UK), north-west, Mark Dowson, 
Socialist Equality Party (UK), north-west, Ajitha Gunaratne, 
Socialist Equality Party (UK), north-west, Danny Dickinson, dannyd219
Socialist Equality Party (UK), north-west, Joe Heffer, 
An Independence From Europe, south-west, David Smith, 
An Independence From Europe, south-west, Helen Webster, 
An Independence From Europe, south-west, Mike Camp, 
An Independence From Europe, south-west, Andrew Edwards, 
An Independence From Europe, south-west, Phil Dunn, 
An Independence From Europe, south-west, John Taverner, 
An Independence From Europe, yorkshire-and-the-humber, Christopher Booth, 
An Independence From Europe, yorkshire-and-the-humber, Kerrie Oxenham, 
An Independence From Europe, yorkshire-and-the-humber, Malcolm Snelling, 
An Independence From Europe, yorkshire-and-the-humber, John Martin, 
An Independence From Europe, yorkshire-and-the-humber, Paul Sootheran, 
An Independence From Europe, yorkshire-and-the-humber, Howard Blake, 
An Independence From Europe, eastern, Paul Wiffen, 
An Independence From Europe, eastern, Karl Davies, 
An Independence From Europe, eastern, Raymond Spalding, 
An Independence From Europe, eastern, Edmond Rosenthal, 
An Independence From Europe, eastern, Rupert Smith, 
An Independence From Europe, eastern, Dennis Wiffen, 
An Independence From Europe, eastern, Betty Wiffen, 
An Independence From Europe, west-midlands, Mike Nattrass, 
An Independence From Europe, west-midlands, Mark nattrass, 
An Independence From Europe, west-midlands, Joshna Pattni, 
An Independence From Europe, west-midlands, Carl Humphries, 
An Independence From Europe, west-midlands, George Forrest, 
An Independence From Europe, west-midlands, Douglas Ingram, 
An Independence From Europe, west-midlands, Paul Alders, 
An Independence From Europe, east-midlands, Chris Pain, 
An Independence From Europe, east-midlands, Val Pain, 
An Independence From Europe, east-midlands, Alan Jesson, 
An Independence From Europe, east-midlands, John Beaver, 
An Independence From Europe, east-midlands, Carl Mason, 
An Independence From Europe, north-west, Helen Bashford, 
An Independence From Europe, north-west, Gill Kearney, 
An Independence From Europe, north-west, Pauline Penny, 
An Independence From Europe, north-west, Kay Bashford, 
An Independence From Europe, north-west, Faye Raw, 
An Independence From Europe, north-west, Lorna Markovitch, 
An Independence From Europe, north-west, Jennie Ransome, 
An Independence From Europe, north-west, Jill Stockdale, 
An Independence From Europe, london, Patrick Burns, 
An Independence From Europe, london, Marlene Daniel, 
An Independence From Europe, london, Gareth Griffiths, 
An Independence From Europe, london, Munpreet Bhathal, 
An Independence From Europe, london, Sharon Greenfield, 
An Independence From Europe, london, Eddie Yeoman, 
An Independence From Europe, london, Fred Atkins, 
An Independence From Europe, london, Jean Atkins, 
An Independence From Europe, north-east, Sherri Forbes, 
An Independence From Europe, north-east, Nawal Hizan, 
An Independence From Europe, north-east, Mary Forbes, 
An Independence From Europe, south-east, Laurence Stassen, 
An Independence From Europe, south-east, Joyce Nattrass, 
An Independence From Europe, south-east, Paul Godfrey, 
An Independence From Europe, south-east, Alan Sheath, 
An Independence From Europe, south-east, Ken Holtom, 
An Independence From Europe, south-east, Mark Henry, 
An Independence From Europe, south-east, Keith Vernon, 
An Independence From Europe, south-east, Michaelina Argy, 
An Independence From Europe, south-east, Seana Connolly, 
An Independence From Europe, south-east, Dorothy Sheath, 
Pirate Party UK, north-west, Maria Aretoulaki, PiratePUKMaria
Pirate Party UK, north-west, George Walkden, gwalkden
Pirate Party UK, north-west, Jack Allnutt, allnutt_eu
Socialist Labour, wales, Andrew Jordan, AndrewJordanSLP
Socialist Labour, wales, Katherine Jones, 
Socialist Labour, wales, David Lloyd Jones, 
Socialist Labour, wales, Liz Screen, 
Sinn Féin, northern-ireland, Martina Anderson, MEPStandingUp4U
National Health Action Party, london, Dr Louise Irvine, drmarielouise
National Health Action Party, london, Dr Chidi Ejimofo, Nytspider
National Health Action Party, london, Marcus Chown, 
National Health Action Party, london, Kathryn Anderson, 
National Health Action Party, london, Rufus Hound, RufusHound
National Health Action Party, london, Jessica Ormerod, 
National Health Action Party, london, Andrew Sharp, Andrewsharp1
National Health Action Party, london, Alex Ashman, 
Green Party of Northern Ireland, northern-ireland, Ross Brown, voterossbrown
Europeans Party, london, Tommy Tomescu, 
Europeans Party, london, Andrzej Rygielski, 
Europeans Party, london, Vanessa Rodriguez, 
Europeans Party, london, Robin Ashenden, 
Europeans Party, london, Emil Rusanov, 
Europeans Party, london, Georgios Papagrigorakis, 
NI21, northern-ireland, Tina McKenzie, Tina4Europe
Social Democratic and Labour Party, northern-ireland, Alex Attwood, AlexForEurope
No2EU, north-west, Roger Bannister, 
No2EU, north-west, George Waterhouse, 
No2EU, north-west, Jacqueline Grunsell, 
No2EU, north-west, John Metcalfe, 
No2EU, north-west, George Tapp, 
No2EU, north-west, Mark Rowe, 
No2EU, north-west, James Healy, 
No2EU, north-west, Kevin Morrison, 
No2EU, yorkshire-and-the-humber, Trevor Howard, 
No2EU, yorkshire-and-the-humber, Mary Jackson, 
No2EU, yorkshire-and-the-humber, Carrie Hedderwick, 
No2EU, yorkshire-and-the-humber, Adrian O'Malley, 
No2EU, yorkshire-and-the-humber, Steven Andrew, 
No2EU, yorkshire-and-the-humber, Iain Dalton, 
No2EU, wales, Robert Griffiths, 
No2EU, wales, Claire Job, 
No2EU, wales, Steven Skelly, 
No2EU, wales, Laura Picand, 
No2EU, eastern, Brian Denny, 
No2EU, eastern, Eleanor Donne, 
No2EU, eastern, Stephen Glennon, 
No2EU, eastern, David Goode, 
No2EU, eastern, Leonardo Impett, 
No2EU, eastern, Teresa Mackay, 
No2EU, eastern, Emily Thompson-Golding, 
No2EU, london, Edward Dempsey, 
No2EU, london, Alexander Gordon, 
No2EU, london, April Ashley, 
No2EU, london, Annie Ngemi, 
No2EU, london, Mary Davis, 
No2EU, london, Paula Mitchell, 
No2EU, london, Natasha Hoarau, 
No2EU, london, Michael Carty, 
No2EU, west-midlands, Dave Nellist, davenellist
No2EU, west-midlands, Pat Collins, 
No2EU, west-midlands, Joanne Stevenson, 
No2EU, west-midlands, Sophia Hussain, 
No2EU, west-midlands, Paul Reilly, 
No2EU, west-midlands, Andrew Chaffer, 
No2EU, west-midlands, Amanda Marfleet, 
No2EU, scotland, John Foster, 
No2EU, scotland, Andrew Elliott, 
No2EU, scotland, Murdo Maclean, 
No2EU, scotland, Gail Morrow, 
No2EU, scotland, Brian Smith, 
No2EU, scotland, Richard Veitch, 
Communities United Party, london, Kamran Malik, 
Communities United Party, london, Humera Kamran, 
Communities United Party, london, Cydatty Bogie, 
Communities United Party, london, Mary Coleman-Daniels, 
Communities United Party, london, Idris Ali, 
Communities United Party, london, Reuben Edokpayi, 
Communities United Party, london, Sunita Singh, 
Communities United Party, london, Joanne Flanders, 
British National Party, north-east, Martin Vaughan, 
British National Party, north-east, Lady Dorothy Brooke, 
British National Party, north-east, Peter Foreman, 
British National Party, yorkshire-and-the-humber, Marlene Guest, 
British National Party, yorkshire-and-the-humber, Adam Walker, 
British National Party, yorkshire-and-the-humber, Danny Cooke, 
British National Party, yorkshire-and-the-humber, Joanne Brown, 
British National Party, yorkshire-and-the-humber, Steven Harrison, 
British National Party, yorkshire-and-the-humber, Stuart Henshaw, 
British National Party, west-midlands, Michael Coleman, 
British National Party, west-midlands, Jennifer Matthys, 
British National Party, west-midlands, Kenneth Griffiths, 
British National Party, west-midlands, Simon Patten, 
British National Party, west-midlands, David Bradnock, 
British National Party, west-midlands, Mark Badrick, 
British National Party, west-midlands, Phil Kimberley, 
British National Party, north-west, Nick Griffin, nickgriffinmep
British National Party, north-west, Dawn Charlton, 
British National Party, north-west, Clive Jefferson, 
British National Party, north-west, Eddy O'Sullivan, 
British National Party, north-west, Simon Darby, 
